_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
0.026,132.8454754718025,11.8137333830383,132.84542537216,11.81372071798,1.1644,0.0152,-11.034,0.016,-2.85,0.012,0,12.549206,0.002765,12.837496,0.002856,12.102559,0.003797,0.734937
0.2041,132.8429532696016,11.812034201658,132.84293097103,11.81201882051,0.8462,0.6191,-4.911,0.588,-3.461,0.418,0,19.975613,0.005581,20.530418,0.121872,18.425123,0.032306,2.105295
0.2898,132.8479313129735,11.8182972573408,132.84788105468,11.81828394619,1.1473,0.0488,-11.068,0.051,-2.995,0.04,0,15.922245,0.002786,16.451397,0.004742,15.235978,0.007174,1.215419
0.3854,132.8456752010466,11.8203230555639,132.84562681308,11.82030919729,1.1856,0.0191,-10.656,0.021,-3.118,0.015,0,13.152652,0.002769,13.391607,0.002839,12.764563,0.003818,0.627045
0.397,132.846988125875,11.8073778761856,132.84693779229,11.80736186359,1.1066,0.0505,-11.085,0.052,-3.603,0.041,0,14.055045,0.002886,14.500699,0.004522,13.430955,0.004432,1.069744
0.3994,132.8400801630235,11.8173735987431,132.84003048001,11.81736087393,1.1972,0.0339,-10.942,0.037,-2.863,0.027,0,14.996793,0.002793,15.395066,0.004287,14.428158,0.004023,0.966908
0.4256,132.8422496759013,11.8077653942086,132.8421994418,11.80775179239,1.1692,0.0412,-11.064,0.042,-3.06,0.03,0,15.436183,0.002775,15.915837,0.003848,14.788034,0.004027,1.127803
0.4708,132.8418208819954,11.8207086541351,132.84182602003,11.82068452572,1.1289,0.6265,1.132,0.857,-5.429,0.496,0,20.019993,0.006085,20.997423,0.143993,18.887878,0.043233,2.109545
0.4772,132.8505911585073,11.807420719667,132.85054101353,11.80740716146,1.0984,0.0661,-11.044,0.069,-3.051,0.059,0,16.603622,0.002839,17.225872,0.016473,15.798269,0.010294,1.427603
0.5072,132.8539573703535,11.8168889386563,132.85391265515,11.81687446411,1.2258,0.0196,-9.848,0.019,-3.257,0.014,0,13.094708,0.002771,13.39815,0.002874,12.630242,0.003813,0.767907
0.5261,132.836876555052,11.8137750733257,132.83687655505,11.81377507333,,,,,,,0,20.994644,0.015044,21.08022,0.141556,19.857319,0.209696,1.2229
0.5374,132.8503616710949,11.8060908449931,132.85031109265,11.80607794216,1.156,0.0163,-11.139,0.017,-2.903,0.013,0,12.679014,0.002763,12.972798,0.002848,12.227963,0.003819,0.744835
0.5637,132.8490441097211,11.8050536040388,132.84902273871,11.80502777842,3.1238,0.6868,-4.707,0.622,-5.811,0.467,0,19.932297,0.005558,20.983973,0.173449,18.736446,0.062532,2.247526
0.5732,132.8367171218144,11.8104844199041,132.83671750153,11.81047589292,-0.2793,1.1315,0.084,1.18,-1.919,0.954,0,20.665295,0.008445,21.02623,0.147456,20.199482,0.163793,0.826748
0.6109,132.8561900541997,11.8152831479637,132.85613980133,11.81526991345,0.9809,0.0932,-11.067,0.092,-2.978,0.063,0,16.957205,0.00287,17.85862,0.013092,15.9981,0.005528,1.860519
0.6162,132.8384276219797,11.821118082646,132.83837198439,11.82110830024,1.3042,0.4624,-12.253,0.467,-2.201,0.341,0,19.636171,0.004634,20.93655,0.138117,18.520735,0.026317,2.415815
0.6437,132.8362704419609,11.8087515270766,132.83621905086,11.80873840525,1.3259,0.1268,-11.318,0.127,-2.952,0.099,0,17.790794,0.002978,18.863428,0.02488,16.772799,0.007606,2.09063
0.6962,132.857673152673,11.8126822722423,132.85762241692,11.81266768536,1.1015,0.0521,-11.174,0.05,-3.282,0.035,0,15.847855,0.002782,16.403856,0.005226,15.150593,0.004741,1.253264
0.7747,132.832953534264,11.811337799092,132.83290451845,11.8113257925,1.2014,0.2462,-10.795,0.251,-2.701,0.175,0,18.736725,0.00386,18.34954,0.143196,18.873735,0.066131,-0.524195
0.7857,132.8581384907413,11.8191562295609,132.85808725086,11.81914437316,1.1427,0.0161,-11.285,0.017,-2.668,0.014,0,13.090845,0.002768,13.384382,0.002882,12.638405,0.003813,0.745977
0.7899,132.8328702002569,11.8104606463132,132.83285315935,11.81043902316,0.8632,0.0664,-3.753,0.07,-4.865,0.052,0,16.580038,0.002811,17.12048,0.008517,15.891482,0.005741,1.228997
0.806,132.8450152669665,11.8004943182546,132.8449654783,11.80048166625,1.1576,0.018,-10.966,0.018,-2.847,0.014,0,10.169919,0.002759,10.713588,0.00281,9.476929,0.003787,1.236659
0.8068,132.8388470853398,11.8023129357799,132.83888865821,11.80228625905,0.1152,0.2548,9.156,0.252,-6.002,0.189,0,18.904846,0.003441,19.357264,0.052035,18.230131,0.020305,1.127132
0.8213,132.8552912250707,11.8037747031643,132.85524150643,11.80376189587,1.166,0.0229,-10.95,0.024,-2.882,0.019,0,13.985338,0.002768,14.353739,0.003188,13.454699,0.003848,0.89904
0.8258,132.8583799863089,11.8075976584198,132.85833153783,11.8075831161,1.0782,0.1007,-10.67,0.099,-3.272,0.07,0,17.290304,0.002878,18.146122,0.017744,16.384066,0.007448,1.762056
0.8881,132.8535196568909,11.8011233851218,132.85346852402,11.80111278677,1.0702,0.0595,-11.262,0.065,-2.385,0.057,0,14.304366,0.002764,14.693179,0.003394,13.748766,0.003938,0.944413
0.9477,132.8617432297487,11.811254406122,132.86174322975,11.81125440612,,,,,,,0,10.818192,0.01468,10.68668,0.004506,9.934184,0.005187,0.752496
0.9674,132.8620697684203,11.810979632291,132.86203403806,11.81097233184,1.0113,0.0785,-7.869,0.262,-1.643,0.107,0,13.27784,0.002857,,,,,
0.9852,132.8373205247831,11.7997538658278,132.83731691387,11.79974189027,-0.369,0.6253,-0.795,0.612,-2.695,0.453,0,20.227915,0.005772,20.602497,0.097361,19.853416,0.086609,0.749081
