_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
0.0772,88.0756673775242,32.5452181803044,88.07567201722,32.54521561586,-0.1353,0.6413,0.88,0.872,-0.577,0.55,0,20.277859,0.006901,20.856808,0.113565,19.491684,0.188125,1.365124
0.1841,88.0764345368918,32.547417031175,88.07644595715,32.54739271562,0.6746,0.0201,2.166,0.024,-5.471,0.015,0,12.042892,0.002769,12.241603,0.002859,11.702149,0.003873,0.539454
0.2211,88.0763429056091,32.5418148755267,88.07634293197,32.54180320886,0.5921,0.3694,0.005,0.392,-2.625,0.249,0,19.31119,0.004244,20.132887,0.08802,18.56798,0.043586,1.564907
0.2363,88.0743973437835,32.5489480846522,88.0743936266,32.54893434243,-0.5738,0.3989,-0.705,0.356,-3.092,0.223,0,18.250452,0.003718,18.280979,0.081488,17.092329,0.064391,1.18865
0.2475,88.0692822618671,32.5447541527411,88.06928441826,32.54473020163,3.7311,1.0449,0.409,0.762,-5.389,0.472,0,19.648708,0.005631,21.361183,0.234217,18.61055,0.094974,2.750633
0.2667,88.0719192402366,32.5490503439129,88.07192954291,32.54902457058,0.6867,0.0141,1.954,0.017,-5.799,0.011,0,10.865206,0.00276,11.500493,0.002862,10.099029,0.003788,1.401464
0.287,88.0730691267495,32.5403304335206,88.07308030359,32.54030472241,0.6818,0.016,2.12,0.019,-5.785,0.012,0,13.156568,0.002804,13.341619,0.002867,12.842739,0.003864,0.49888
0.3137,88.0715898578281,32.5402524745722,88.07159266258,32.54024373235,0.4401,0.3503,0.532,0.419,-1.967,0.3,0,17.89703,0.011004,14.665879,1.220596,14.049484,1.096189,0.616395
0.3272,88.0710269939958,32.5402514092141,88.07103696879,32.54022672477,0.7123,0.0205,1.892,0.024,-5.554,0.015,0,12.410936,0.002779,12.567198,0.002861,12.130672,0.003812,0.436526
0.3592,88.0766720762,32.55060098774,88.0766720762,32.55060098774,,,,,,,0,19.681458,0.007892,19.985767,0.384003,18.355148,0.132722,1.630619
