_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
0.0856,97.3965408247418,-31.281409961761,97.39653464141,-31.28138277065,0.2272,0.2619,-0.0616,0.3168,-1.189,0.346,6.118,0.332,0,19.763294,0.00446,20.358114,0.068249,18.940828,0.037961,1.417286
0.1089,97.3971292703176,-31.2820087109032,97.3971225825,-31.28198453757,0.0317,0.0338,0.2215,0.0414,-1.286,0.046,5.439,0.045,0,16.607706,0.002805,16.862144,0.005914,16.183867,0.007255,0.678278
0.1411,97.3924125058893,-31.2811857562276,97.39240593774,-31.28116081845,0.0217,0.0239,0.2218,0.0293,-1.263,0.031,5.611,0.03,0,15.915832,0.002807,16.040228,0.01454,15.335167,0.013354,0.705061
0.1422,97.3923137562725,-31.2825338217965,97.39230729724,-31.28251023513,0.0861,0.0921,0.2729,0.1146,-1.242,0.125,5.307,0.114,0,18.408983,0.003135,18.907804,0.018138,17.826572,0.014679,1.081232
0.1429,97.3966943558815,-31.2800459755483,97.39670691478,-31.28006244666,0.0988,0.1024,0.2956,0.1308,2.415,0.144,-3.706,0.138,0,17.533278,0.003242,17.581985,0.014163,16.789417,0.009252,0.792568
0.1497,97.3978727164427,-31.2814900246932,97.39786612227,-31.28146565136,0.0274,0.0299,0.2162,0.0363,-1.268,0.039,5.484,0.039,0,16.243938,0.002872,16.515068,0.008875,15.819635,0.005825,0.695433
0.1512,97.39672520292,-31.27990168268,97.39672520292,-31.27990168268,10.2594,10.2079,,,,,,,0,19.072811,0.007237,,,,,
0.1669,97.3919447820715,-31.2810254780454,97.39193792791,-31.28100104249,0.0442,0.0486,0.3077,0.0606,-1.318,0.064,5.498,0.062,0,17.021067,0.00724,,,,,
0.1707,97.3930455344253,-31.279670274122,97.39303879477,-31.2796463319,0.0347,0.0375,0.1716,0.0455,-1.296,0.051,5.387,0.049,0,16.825251,0.002816,17.086657,0.005792,16.420685,0.005286,0.665972
0.1782,97.3976030262907,-31.2799944568754,97.39759639582,-31.27997010132,0.0393,0.043,0.2208,0.0534,-1.275,0.056,5.48,0.059,0,16.852907,0.003267,16.699511,0.076076,15.99281,0.073387,0.7067
0.1787,97.3979222189745,-31.2803374406065,97.39791545847,-31.28031285394,0.0395,0.0428,0.274,0.0527,-1.3,0.055,5.532,0.056,0,16.805208,0.002981,16.68475,0.034228,16.069244,0.027821,0.615505
0.1849,97.393786727546,-31.2848685823276,97.39378032036,-31.28484404455,0.0941,0.0991,0.3164,0.1203,-1.232,0.132,5.521,0.122,0,18.501163,0.003154,18.985207,0.022822,17.986095,0.01372,0.999111
0.1849,97.3914632134108,-31.2813981270798,97.39145656724,-31.28137356708,0.0725,0.0843,-0.0378,0.1026,-1.278,0.107,5.526,0.108,0,17.938305,0.002997,18.152834,0.077282,17.248455,0.030158,0.904379
0.1931,97.3912530080039,-31.2817135688743,97.39124635141,-31.28169096443,0.2408,0.2589,1.0159,0.3133,-1.28,0.396,5.086,0.312,0,19.633772,0.004689,,,,,
0.1947,97.3975548392363,-31.2795636064776,97.39754796958,-31.2795389087,0.0775,0.0713,0.2215,0.0893,-1.321,0.118,5.557,0.094,0,17.794182,0.00311,,,,,
0.2081,97.3965321198018,-31.2787546024665,97.39652552062,-31.2787303358,0.0304,0.0333,0.2073,0.0408,-1.269,0.044,5.46,0.045,0,16.572958,0.002815,16.77367,0.008477,16.14674,0.006161,0.62693
0.2141,97.3975486288922,-31.27914130873,97.39754794765,-31.27911770873,0.4043,0.3659,-0.9181,0.4481,-0.131,0.532,5.31,0.418,0,19.985283,0.005876,,,,,
0.2172,97.3987067363601,-31.2802048488876,97.39870004347,-31.28018087111,0.0637,0.0692,0.3346,0.0854,-1.287,0.091,5.395,0.091,0,17.936253,0.002969,18.227144,0.03647,17.401043,0.044319,0.826101
0.2191,97.3965228899643,-31.2853828566388,97.39651684679,-31.28535876775,0.0402,0.0431,0.2423,0.053,-1.162,0.056,5.42,0.058,0,17.006361,0.00284,17.262613,0.007141,16.58124,0.006954,0.681374
