_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
0.1464,122.6571582693271,-12.8315636710431,122.65714767589,-12.83156649771,1.0136,0.2713,-2.324,0.289,-0.636,0.241,0,19.027119,0.003631,20.094759,0.045981,18.06864,0.018031,2.026119
0.2864,122.6601395527186,-12.8381559784655,122.66011475048,-12.8381531918,1.0361,0.0201,-5.441,0.022,0.627,0.016,0,14.284267,0.00374,14.688646,0.009085,13.718381,0.008074,0.970265
0.2994,122.6612509046134,-12.8377044788608,122.66122369559,-12.83769781664,0.1503,0.7704,-5.969,0.803,1.499,0.723,0,20.231312,0.010835,20.907522,0.127482,18.91995,0.054583,1.987572
0.3679,122.6531999011623,-12.829849909695,122.65321683049,-12.82981463414,1.1502,0.4551,3.714,0.446,7.937,0.37,0,19.537573,0.004378,20.37409,0.077951,18.601076,0.0317,1.773014
0.4659,122.6613280579592,-12.8409021068376,122.66131919178,-12.84090928906,0.2757,0.6488,-1.945,0.637,-1.616,0.486,0,19.888926,0.005285,20.393541,0.10722,19.031281,0.046924,1.362261
0.4678,122.6535700992576,-12.8273683632704,122.65355052634,-12.82735721216,0.1101,0.1127,-4.294,0.121,2.509,0.095,0,17.741241,0.002958,18.083551,0.011121,17.241732,0.01042,0.84182
0.4679,122.662242047687,-12.8404517309987,122.66223208294,-12.84045448211,0.749,0.0303,-2.186,0.035,-0.619,0.024,0,15.280022,0.002796,15.621078,0.004491,14.77648,0.004281,0.844598
0.5261,122.6622918731858,-12.8415498620244,122.66229251137,-12.84154865758,0.8984,0.6068,0.14,0.646,0.271,0.51,0,19.944689,0.005502,20.322836,0.09557,19.185982,0.04884,1.136854
0.585,122.6501171274419,-12.8278023921198,122.65010677119,-12.82779935212,-0.9626,1.07,-2.272,1.009,0.684,0.918,0,20.464787,0.006613,21.126793,0.096059,19.579542,0.071315,1.547251
0.5871,122.6577461050067,-12.8436937540727,122.65772722371,-12.84367218074,0.4647,0.2052,-4.142,0.262,4.854,0.158,0,16.306652,0.004128,16.522043,0.01301,15.68706,0.00564,0.834983
0.6833,122.662289715951,-12.8444125593439,122.66225127859,-12.84446373268,1.5644,0.8808,-8.432,0.919,-11.514,0.838,0,20.361063,0.006726,21.155022,0.283617,19.205454,0.057158,1.949568
0.6924,122.6583497713798,-12.8454193847242,122.65833920471,-12.84542222028,0.729,0.0173,-2.318,0.02,-0.638,0.014,0,11.840017,0.002772,11.902078,0.002851,11.720493,0.003798,0.181584
0.7143,122.6554986675466,-12.8455616489199,122.6554924178,-12.84555660892,0.1993,0.1841,-1.371,0.204,1.134,0.173,0,18.556305,0.00319,18.928074,0.028186,17.965311,0.017632,0.962763
0.7555,122.6667321194443,-12.8247051784794,122.66671374097,-12.82467165848,0.4468,0.3524,-4.032,0.349,7.542,0.285,0,19.224266,0.003857,20.214945,0.060027,18.352301,0.019851,1.862644
0.7605,122.6455630531397,-12.8380978545743,122.64567709965,-12.83816172571,2.1514,0.5791,25.019,0.727,-14.371,0.455,0,19.794958,0.004834,21.0676,0.113262,18.692667,0.027419,2.374933
0.7814,122.6615432715623,-12.8464650844869,122.66151119762,-12.8464323156,1.5259,0.6566,-7.036,0.643,7.373,0.551,0,19.9182,0.005664,20.668909,0.122743,18.867975,0.049074,1.800934
0.7862,122.6645193374334,-12.8224740543521,122.66451023944,-12.82247091213,0.3526,0.1915,-1.996,0.214,0.707,0.176,0,18.613724,0.003325,19.150011,0.033575,17.979048,0.0203,1.170963
0.8046,122.6441994430542,-12.8330713395809,122.64418888602,-12.83307354847,0.8574,0.2366,-2.316,0.318,-0.497,0.269,0,18.52121,0.004649,18.003231,0.136806,16.824062,0.093473,1.179169
0.8396,122.6712835818133,-12.828822703221,122.67128927504,-12.82880747211,0.9621,1.0326,1.249,0.924,3.427,0.911,0,20.414762,0.007155,21.39748,0.167739,19.579813,0.061918,1.817667
0.8434,122.6698082144861,-12.8259431275811,122.66981002864,-12.82594565647,0.2494,0.0771,0.398,0.087,-0.569,0.074,0,17.165491,0.002851,17.54104,0.007664,16.639616,0.006587,0.901424
0.8722,122.6431489087487,-12.8319888379874,122.64313470969,-12.83199274021,0.7495,0.0136,-3.115,0.014,-0.878,0.011,0,10.611354,0.002759,10.957589,0.002818,10.089681,0.003788,0.867908
0.8953,122.6682499593934,-12.8449038697076,122.66823897792,-12.84490621193,0.7568,0.0137,-2.409,0.017,-0.527,0.011,0,13.12104,0.002771,13.317055,0.002935,12.79241,0.003846,0.524645
0.914,122.6461897854155,-12.8238459282842,122.64617934728,-12.82383428384,-0.3688,0.4217,-2.29,0.35,2.62,0.357,0,19.575272,0.004108,20.125107,0.062788,18.918829,0.034831,1.206278
0.9318,122.6437301596095,-12.8268445187465,122.64371992191,-12.82684709208,0.7328,0.014,-2.246,0.016,-0.579,0.011,0,13.249758,0.002762,13.502193,0.002852,12.842932,0.003805,0.659262
0.9383,122.6559792060614,-12.849421687584,122.65596336948,-12.84941112314,0.1135,0.0885,-3.474,0.097,2.377,0.077,0,17.425449,0.002876,17.793858,0.01069,16.897434,0.008035,0.896423
0.9478,122.6696089594661,-12.8448266453499,122.66961460747,-12.84481928535,0.8543,0.0473,1.239,0.051,1.656,0.041,0,16.185789,0.002791,16.658094,0.007094,15.515112,0.006464,1.142982
0.9616,122.6433596865373,-12.8413327365466,122.64335227449,-12.84131954988,0.5789,0.0964,-1.626,0.106,2.967,0.086,0,17.591772,0.002887,18.140884,0.016189,16.888813,0.009245,1.252071
0.9687,122.67409810269,-12.83731431154,122.67409810269,-12.83731431154,,,,,,,0,20.8484,0.015264,21.336222,0.106776,20.000469,0.169047,1.335752
0.9822,122.674683335328,-12.8328293310553,122.6746710188,-12.8328322155,0.8468,0.0681,-2.702,0.075,-0.649,0.056,0,14.41659,0.00278,14.700385,0.002974,13.955757,0.003908,0.744628
0.9827,122.6436924445422,-12.8425994538717,122.64367595197,-12.84257659165,2.0749,0.7238,-3.618,0.686,5.144,0.626,0,20.174763,0.005924,21.35076,0.134299,18.883991,0.029698,2.466768
1.0098,122.6425687768238,-12.8415691171487,122.64255902628,-12.84157218826,0.8541,0.0545,-2.139,0.06,-0.691,0.047,0,16.608486,0.002812,17.109959,0.006703,15.95326,0.004967,1.156698
1.0225,122.6727297288434,-12.8429674152299,122.67272212985,-12.84294689523,-1.446,1.4089,-1.667,1.409,4.617,1.401,0,20.580715,0.008235,21.143896,0.125659,19.71014,0.119004,1.433756
1.026,122.6404650860286,-12.832532036775,122.64043508333,-12.83252097011,-1.0749,0.9829,-6.582,0.921,2.49,1.012,0,20.152716,0.006096,20.666164,0.141229,18.964537,0.059316,1.701628
1.0311,122.6406692007851,-12.8374053150277,122.64066343443,-12.83740485725,-0.4833,0.809,-1.265,0.787,0.103,0.703,0,20.27269,0.00622,21.457483,0.126658,19.272774,0.040994,2.18471
1.0343,122.6539132936723,-12.8506791456253,122.65390150507,-12.85067599007,-0.3179,0.7536,-2.586,0.726,0.71,0.66,0,20.259964,0.006273,21.240774,0.127347,19.161371,0.040958,2.079403
1.0399,122.6435381524473,-12.8440655794976,122.64352769068,-12.84406704172,0.8074,0.0261,-2.295,0.029,-0.329,0.021,0,14.879286,0.002792,15.204251,0.003328,14.380742,0.004067,0.823509
1.0535,122.674400765545,-12.8268173880289,122.6743992659,-12.82681801914,2.1393,0.7468,-0.329,0.729,-0.142,0.593,0,20.004114,0.007232,20.010544,0.142054,18.647547,0.065434,1.362997
1.0535,122.6496726258585,-12.8182810988542,122.64966247511,-12.81828361441,0.7502,0.0154,-2.227,0.016,-0.566,0.013,0,13.771481,0.002765,13.972275,0.003496,13.397046,0.004196,0.575229
1.0586,122.6463755820631,-12.8474393700489,122.64637247768,-12.84747524116,0.9792,0.0354,-0.681,0.04,-8.071,0.028,0,14.378856,0.002777,14.707336,0.002985,13.837724,0.003875,0.869613
1.0752,122.6526824021837,-12.8167165721942,122.65267103451,-12.81671388775,0.2602,0.2347,-2.494,0.224,0.604,0.253,0,18.97226,0.003435,19.322058,0.037806,18.4321,0.036429,0.889957
1.0798,122.6500044257283,-12.8501672519949,122.64997423858,-12.85013350533,0.3691,0.418,-6.622,0.423,7.593,0.331,0,19.354561,0.004117,20.313372,0.084996,18.332069,0.020762,1.981302
1.0831,122.6716308487216,-12.8217437823463,122.67161660466,-12.82174811568,2.4654,0.5696,-3.125,0.571,-0.975,0.469,0,19.556204,0.005351,20.558357,0.078282,18.493969,0.02198,2.064388
1.0872,122.64224029495,-12.82415631359,122.64224029495,-12.82415631359,,,,,,,0,20.826942,0.017173,21.380974,0.1327,19.725817,0.148445,1.655157
1.1046,122.6451080476204,-12.8474108033386,122.64509527908,-12.84740307445,0.3642,0.0663,-2.801,0.078,1.739,0.06,0,16.908909,0.002826,17.174961,0.007094,16.441175,0.005928,0.733786
1.1099,122.6500302047976,-12.8170683344531,122.65001883255,-12.81706952112,0.6998,0.0244,-2.495,0.025,-0.267,0.019,0,11.264153,0.002801,11.333643,0.002844,11.130486,0.003804,0.203157
1.1108,122.6453012334983,-12.8200460922821,122.64531019922,-12.82004603006,3.7361,1.3125,1.967,1.292,0.014,1.76,0,20.784227,0.010635,21.224195,0.234028,19.876783,0.110006,1.347412
1.1127,122.675780983693,-12.8274944170331,122.67577040866,-12.8274968837,0.7382,0.0183,-2.32,0.02,-0.555,0.017,0,13.0018,0.002772,13.15393,0.002894,12.739322,0.003862,0.414608
1.1324,122.6540597629163,-12.8153934134242,122.65404849102,-12.81539584898,0.7398,0.0357,-2.473,0.035,-0.548,0.03,0,15.74103,0.002782,16.121748,0.003855,15.198294,0.004211,0.923454
1.1517,122.66611861249,-12.85133935656,122.66611861249,-12.85133935656,,,,,,,0,20.757814,0.014061,21.275034,0.31495,19.615084,0.111735,1.65995
1.1682,122.6657339007837,-12.8159653693886,122.66572242831,-12.8159680405,0.7537,0.03,-2.517,0.028,-0.601,0.024,0,14.345663,0.002773,14.577865,0.004363,13.871535,0.006984,0.706329
1.1688,122.6623426861157,-12.8148989301799,122.6623347051,-12.81489165018,-0.2893,0.329,-1.751,0.273,1.638,0.271,0,19.149904,0.003755,19.677307,0.036339,18.442505,0.033639,1.234802
1.1733,122.6668725897161,-12.8163850268387,122.66686233421,-12.81638737795,0.8281,0.0269,-2.25,0.029,-0.529,0.022,0,10.892641,0.00276,11.36743,0.002819,10.254938,0.00379,1.112492
1.1735,122.6757985881413,-12.8427668471467,122.67579571174,-12.84275894048,1.0745,0.8081,-0.631,0.824,1.779,0.709,0,20.136456,0.005477,20.724161,0.150017,19.333204,0.064265,1.390957
1.1882,122.66558394736,-12.81555025632,122.66558394736,-12.81555025632,,,,,,,0,18.884291,0.005652,,,,,
1.1948,122.678213343627,-12.8362133230186,122.67820103605,-12.83621207413,0.256,0.0877,-2.7,0.09,0.281,0.076,0,17.187239,0.002847,17.549992,0.007012,16.658287,0.009142,0.891705
1.1991,122.6426934136234,-12.8205263829175,122.6426819455,-12.82052056514,0.151,0.0704,-2.516,0.071,1.309,0.064,0,17.117331,0.00285,17.496992,0.007934,16.575298,0.006533,0.921694
1.2002,122.6411377437067,-12.8224754864487,122.64108251761,-12.82245672201,-1.6859,1.5408,-12.116,1.545,4.222,2.869,0,20.757668,0.011236,21.375353,0.305196,20.037918,0.122768,1.337435
1.2068,122.6784750092346,-12.8322151831456,122.67847392892,-12.83221818759,0.404,0.3356,-0.237,0.39,-0.676,0.296,0,18.703669,0.004779,19.480577,0.03649,17.519749,0.014417,1.960829
1.2295,122.6536342859161,-12.8539587899532,122.65362557883,-12.85394861662,0.168,0.1894,-1.91,0.202,2.289,0.177,0,18.537798,0.003187,18.939716,0.026381,17.955576,0.016473,0.98414
1.2357,122.6785174378308,-12.83846235991,122.6785126743,-12.83846119991,-0.6959,1.2225,-1.045,1.024,0.261,0.989,0,20.456896,0.007775,20.534279,0.123834,19.92301,0.081623,0.611269
1.2807,122.6388037546807,-12.8235069091199,122.63879770604,-12.82349350912,-1.1735,0.6231,-1.327,0.507,3.015,0.518,0,20.045668,0.005237,20.916416,0.127125,19.046263,0.045722,1.870153
1.2945,122.6370758815509,-12.8266641019387,122.63706581707,-12.82666729305,0.7917,0.021,-2.208,0.02,-0.718,0.016,0,14.247177,0.002765,14.500804,0.002926,13.841543,0.003832,0.659261
1.3199,122.6792624185942,-12.8410473231342,122.67925146464,-12.84104395869,0.5639,0.4471,-2.403,0.45,0.757,0.406,0,19.487831,0.004212,20.468557,0.083407,18.497925,0.024459,1.970633
1.3301,122.661326001295,-12.8558025233822,122.66133174072,-12.85580646116,0.8584,0.0281,1.259,0.033,-0.886,0.023,0,15.010274,0.00277,15.338859,0.003178,14.514131,0.00399,0.824728
1.34,122.6787157895576,-12.8245276122188,122.6787110035,-12.82452320333,0.1657,0.6359,-1.05,0.597,0.992,0.514,0,19.949413,0.005413,20.431896,0.118581,19.379364,0.04945,1.052532
1.356,122.6403583710344,-12.8486269213875,122.64034664179,-12.84862894361,-0.3552,0.4727,-2.573,0.506,-0.455,0.393,0,19.699631,0.004463,20.715473,0.081054,18.672871,0.029482,2.042603
1.3647,122.67586288673,-12.8484310104087,122.67585313592,-12.84843324152,0.7584,0.0174,-2.139,0.019,-0.502,0.014,0,13.888314,0.002765,14.115397,0.002899,13.514849,0.003824,0.600549
1.3843,122.6352621356669,-12.8272575718687,122.63525197544,-12.82725916298,0.8424,0.0915,-2.229,0.089,-0.358,0.082,0,17.494537,0.002877,18.158585,0.012311,16.727715,0.007944,1.43087
1.3951,122.6551496890043,-12.85699356902,122.65514937901,-12.85698364902,0.3085,0.0351,-0.068,0.038,2.232,0.029,0,15.51114,0.002778,15.768187,0.003285,15.089057,0.004022,0.67913
1.4267,122.6561807193866,-12.8101706680898,122.65616969385,-12.81017222809,0.7771,0.0131,-2.419,0.013,-0.351,0.011,0,12.344398,0.002766,12.45992,0.002889,12.135547,0.003819,0.324373
1.4276,122.68148977426,-12.84004105916,122.68148977426,-12.84004105916,,,,,,,0,21.130959,0.025429,20.806055,0.189138,20.117985,0.154604,0.68807
1.4331,122.6386038074149,-12.8486310382351,122.63864854083,-12.84863962935,0.786,0.0264,9.813,0.032,-1.933,0.022,0,15.070692,0.002767,15.399812,0.003384,14.563331,0.004078,0.836481
1.4369,122.640497955442,-12.8507612888631,122.64048711503,-12.85076351553,0.7687,0.0167,-2.378,0.019,-0.501,0.014,0,13.979687,0.002764,14.21545,0.002895,13.596767,0.003857,0.618683
1.4438,122.6779487610541,-12.847957756532,122.67793764269,-12.84796041431,0.7407,0.0186,-2.439,0.021,-0.598,0.015,0,12.425448,0.002765,12.598276,0.00284,12.124266,0.003797,0.47401
